director,genres,histogram,imdb_id,length,name,poster_url,themes,tmdb_id,url_name,year
Jordan Peele,"Thriller,Horror,Mystery","[2077, 5692, 3423, 21773, 20581, 139148, 164712, 565162, 274203, 544466]",tt5052448,104,Get Out,https://a.ltrbxd.com/resized/film-poster/3/5/3/1/1/7/353117-get-out-0-230-0-345-crop.jpg?v=136acec030,"Horror, the undead and monster classics,Intense violence and sexual transgression,Terrifying,  haunted,  and supernatural horror,Zombie carnage and survival horror,Gory,  gruesome,  and slasher horror,Spooky,  scary comedy,Creepy,  chilling,  and terrifying horror",419430,get-out-2017,2017
Ari Aster,"Drama,Horror,Mystery","[10525, 23317, 11968, 59502, 49213, 212217, 209522, 498961, 176539, 322162]",tt8772262,147,Midsommar,https://a.ltrbxd.com/resized/film-poster/4/5/9/5/6/4/459564-midsommar-0-230-0-345-crop.jpg?v=ed7b8ded1f,"Horror, the undead and monster classics,Intense violence and sexual transgression,Gothic and eerie haunting horror,Terrifying,  haunted,  and supernatural horror,Gory,  gruesome,  and slasher horror,Cannibalism and extreme gory horror,Brutal revenge and graphic violence",530385,midsommar,2019
Bong Joon-ho,"Comedy,Drama,Thriller","[2043, 4028, 1788, 11210, 9695, 67516, 80795, 429765, 375135, 1213355]",tt6751668,133,Parasite,https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-230-0-345-crop.jpg?v=8f5653f710,"Moving relationship stories,Intense violence and sexual transgression,Tragic sadness and captivating beauty,Heartbreaking and moving family drama,Emotional and touching family dramas,Enduring stories of family and marital drama,Gripping,  intense violent crime",496243,parasite-2019,2019
Quentin Tarantino,"Crime,Thriller","[3562, 8823, 3697, 26082, 18908, 125896, 116959, 445008, 259484, 646110]",tt0110912,154,Pulp Fiction,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-230-0-345-crop.jpg?v=dee19a8077,"Crime, drugs and gangsters,Ruthless gangsters and gritty crime,Guns,  crime,  and violent action,Heists and thrilling action,Brutal,  violent prison drama,Brutal revenge and graphic violence",680,pulp-fiction,1994
Matt Reeves,"Mystery,Thriller,Crime","[3773, 11284, 6636, 41692, 38320, 178003, 203229, 535786, 303001, 391488]",tt1877830,177,The Batman,https://a.ltrbxd.com/resized/film-poster/3/4/8/9/1/4/348914-the-batman-0-230-0-345-crop.jpg?v=ec12a8b7ce,"Thrillers and murder mysteries,High speed and special ops,Crime, drugs and gangsters,Epic heroes,Film-noir and dark crime dramas,Explosive and action-packed heroes vs. villains,Superheroes in action-packed battles with villains,Intriguing and suspenseful murder mysteries,Suspenseful crime thrillers",414906,the-batman,2022
Stephen Chbosky,Drama,"[2936, 7572, 5350, 27674, 27907, 126893, 126145, 269490, 105914, 269077]",tt1659337,103,The Perks of Being a Wallflower,https://a.ltrbxd.com/resized/sm/upload/zz/o0/mz/sv/fyYncUQh5gUTvxmQ4bigm2DVCv7-0-230-0-345-crop.jpg?v=1188bcf4af,"Underdogs and coming of age,Moving relationship stories,Student coming-of-age challenges,Teen school antics and laughter,Teen relationships and coming-of-age,Emotional LGBTQ relationships,Teen friendship and coming-of-age",84892,the-perks-of-being-a-wallflower,2012
James Gunn,"Science Fiction,Action,Adventure","[1568, 3212, 2915, 12826, 19083, 71270, 117712, 270810, 167835, 191869]",tt6791350,150,Guardians of the Galaxy Vol. 3,https://a.ltrbxd.com/resized/film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-230-0-345-crop.jpg?v=bd023e472c,"Epic heroes,Monsters, aliens, sci-fi and the apocalypse,Action-packed space and alien sagas,Superheroes in action-packed battles with villains,Fantasy adventure,  heroism,  and swordplay,Adorable animals and heartwarming families,Action comedy and silly heroics",447365,guardians-of-the-galaxy-vol-3,2023
James Cameron,"Science Fiction,Action,Adventure","[5770, 12364, 10226, 41085, 48478, 146371, 164709, 267601, 108157, 139532]",tt1630029,192,Avatar: The Way of Water,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-230-0-345-crop.jpg?v=37a1014065,"Monsters, aliens, sci-fi and the apocalypse,Epic heroes,War and historical adventure,Humanity's odyssey: earth and beyond,Dinosaurs and sci-fi monster adventures,Imaginative space odysseys and alien encounters,Epic adventure and breathtaking battles,Action-packed space and alien sagas",76600,avatar-the-way-of-water,2022
Taika Waititi,"Adventure,Action,Science Fiction","[4598, 11904, 7981, 39339, 39969, 173850, 184063, 377263, 128093, 203471]",tt3501632,131,Thor: Ragnarok,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-230-0-345-crop.jpg?v=0369e00db5,"Epic heroes,Crude humor and satire,Action comedy and silly heroics,Fantasy adventure,  heroism,  and swordplay,Action-packed space and alien sagas,Superheroes in action-packed battles with villains,Martial arts and intense combat",284053,thor-ragnarok,2017
Rian Johnson,"Comedy,Mystery,Crime","[2158, 7593, 4314, 32369, 31508, 201473, 225275, 655995, 274249, 410147]",tt8946378,131,Knives Out,https://a.ltrbxd.com/resized/film-poster/4/7/5/3/7/0/475370-knives-out-0-230-0-345-crop.jpg?v=7da76d742c,"Thrillers and murder mysteries,Intriguing and suspenseful murder mysteries,Suspenseful crime thrillers,Spooky,  scary comedy,Film-noir and dark crime dramas,Gags,  jokes,  and slapstick humor",546554,knives-out-2019,2019
